Account,User Name,Followers at Posting,Created,Type,Likes,Retweets,URL,Message,Screen Name,Link 1,Final Link 1,Link 2,Final Link 2,Score
Stine Brix,smbrix,15376,2019-04-27 11:49:20 EET,Tweet,3,0,https://twitter.com/smbrix/status/1122075244489998337,@wielive @hansersej trolde?,smbrix,,,,,-11.666666666666666
Stine Brix,smbrix,15376,2019-04-27 10:54:02 EET,Tweet,5,0,https://twitter.com/smbrix/status/1122061328393359360,@hansersej Lyder mærkeligt! Det tror jeg simpelthen ikke på. Har intet set,smbrix,,,,,-7.0
Stine Brix,smbrix,15369,2019-04-25 14:54:22 EET,Tweet,66,3,https://twitter.com/smbrix/status/1121397034081243136,"Stort tillykke til en skattet kollega og ven, Johanne Schmidt-Nielsen, og til @redbarnetdk med en dygtig, ambitiøs og vellidt leder #dkpol",smbrix,,,,,1.9166666666666667
Stine Brix,smbrix,15361,2019-04-23 21:30:08 EET,Tweet,49,15,https://twitter.com/smbrix/status/1120771855760150531,RT @nvillumsen: I morgen fremlægger den europæiske venstrefløj i #NowthePeople samarbejdet et fælles europæisk klimaudspil. Vi vil bære kli…,smbrix,,,,,1.8285714285714285
Stine Brix,smbrix,15364,2019-04-20 10:35:09 EET,Link,228,40,https://twitter.com/smbrix/status/1119519860541804544,"Fogh Classic: Sender gerne mænd og kvinder i krig, men løber selv fra kritiske spørgsmål. Kujon! http://nyheder.tv2.dk/politik/2019-04-20-fogh-loeber-fra-kritiske-spoergsmaal-foerst-havde-han-ikke-tid-nu-afviser-han-at #dkpol",smbrix,http://nyheder.tv2.dk/politik/2019-04-20-fogh-loeber-fra-kritiske-spoergsmaal-foerst-havde-han-ikke-tid-nu-afviser-han-at,http://nyheder.tv2.dk/politik/2019-04-20-fogh-loeber-fra-kritiske-spoergsmaal-foerst-havde-han-ikke-tid-nu-afviser-han-at,,,8.64516129032258
Stine Brix,smbrix,15356,2019-04-17 13:33:16 EET,Tweet,1,0,https://twitter.com/smbrix/status/1118477523829051394,@politikdr @CCordsen På dette billede er det dog DF som stemmer gult mens S stemmer grønt ☺️,smbrix,,,,,-37.0
Stine Brix,smbrix,15326,2019-04-03 10:10:36 EET,Tweet,356,51,https://twitter.com/smbrix/status/1113353089766109189,"RT @MortenSkov82: Hej #dkmedier. Kan vi ikke skrue lidt ned for “hvem vandt” retorikken, og op for indhold og substans? Politik er ikke en…",smbrix,,,,,10.175
Stine Brix,smbrix,15319,2019-03-28 16:48:36 EET,Tweet,75,23,https://twitter.com/smbrix/status/1111278924636540930,"RT @madsmgt: I lyset af den senere tids episoder med @Pia_Kjaersgaard som formand, er det værd at se det her klip fra januar. Måske det mes…",smbrix,,,,,2.45
Stine Brix,smbrix,15319,2019-03-28 16:47:52 EET,Tweet,291,68,https://twitter.com/smbrix/status/1111278740603105281,RT @pelledragsted: Det her er fandme ubehageligt. Kære @SFpolitik og @Spolitik. Er det her sådan som mennesker i de almene boliger skal beh…,smbrix,,,,,8.975
Stine Brix,smbrix,15300,2019-03-20 16:56:00 EET,Tweet,0,0,https://twitter.com/smbrix/status/1108381682216960003,@fghjorth @hansersej tak for svar. Jeg har bare hørt at tvivlere sidst endte med overvægt til de blå men har ikke set noget doku :),smbrix,,,,,-80.0
Stine Brix,smbrix,15300,2019-03-20 11:12:57 EET,Tweet,3,0,https://twitter.com/smbrix/status/1108295352262815744,@fghjorth @hansersej Et spg til jer to: Hvad de mange der svarer ved ikke - indgår de overhoveder i målingerne? Eller kan de afgøre valget?,smbrix,,,,,-13.333333333333334
Stine Brix,smbrix,15291,2019-03-18 23:48:12 EET,Tweet,43,8,https://twitter.com/smbrix/status/1107760639714443266,Barsk dokumentar om tilstanden i sundhedsvæsenet. Stor tak til alle der stillede op 🙏 Brug for politikere der tager ansvar #dkpol #sundpol,smbrix,,,,,1.275
Stine Brix,smbrix,15288,2019-03-16 15:00:30 EET,Tweet,430,92,https://twitter.com/smbrix/status/1106903062495588352,"RT @LindaHavanna: 64.500 smukke hjerter i Fælledparken. Et for hvert barn, der lever i fattigdom i Danmark. #Næstehjælperne #dkpol https://…",smbrix,https://,https://,,,13.05
Stine Brix,smbrix,15282,2019-03-12 15:40:56 EET,Tweet,0,1,https://twitter.com/smbrix/status/1105463689589780481,Men Hurlumhej er en meget ressourcestærk institution fra en kommune med relativ høj normering (2/2) #bhvchat #dkpol,smbrix,,,,,-8.0
Stine Brix,smbrix,15282,2019-03-12 15:40:35 EET,Tweet,0,1,https://twitter.com/smbrix/status/1105463601479991296,Løkke vil helst gøre daginstitutionsdokumentar til “sorte pletter”. (1/2) #bhvchat #dkool,smbrix,,,,,-8.0
Stine Brix,smbrix,15271,2019-03-04 11:58:06 EET,Tweet,19,5,https://twitter.com/smbrix/status/1102508505788006400,"RT @CamillaHersom: Katastrofe f #sundpol OG demokratiet, hvis @alternativet_ hopper med på at erstatte @regionerne m “borgerråd”. Folkevalg…",smbrix,,,,,-1.6666666666666667
Stine Brix,smbrix,15265,2019-02-28 14:35:06 EET,Tweet,3,1,https://twitter.com/smbrix/status/1101098464715386880,Den knap tre-årige har allerede slået fast at vi holder med sang 4 “Rulleskøjteløb” til #mgp19 #catchytune,smbrix,,,,,-10.0
