Account	User Name	Followers at Posting	Created	Type	Likes	Retweets	URL	Message	Screen Name	Link 1	Final Link 1	Link 2	Final Link 2	Score
René Gade	renegadedreng	231	2019-05-02 08:27:44 EET	Tweet	81	2	https://twitter.com/renegadedreng/status/1123836451098177545	"RT @BenjaminElberth: Jeg stemmer på dem, der vil sikre faste valgperioder. Har levet i et halvt år med en smadret kalender og flere kunder…"	renegadedreng					11.85714286
René Gade	renegadedreng	231	2019-05-02 08:02:42 EET	Tweet	34	11	https://twitter.com/renegadedreng/status/1123830151211622402	"RT @Revsgaard: Finansministeriets fastsættelse af diskonteringsrenten på 4% er ren ideologi, der tilgodeser kortsigtede private interesser…"	renegadedreng					6.428571429
René Gade	renegadedreng	231	2019-05-02 07:57:12 EET	Tweet	2	0	https://twitter.com/renegadedreng/status/1123828768416632832	"@JensRingberg @Uffe_Tang @larsloekke @P1radio Det ville være at sætte blomsten respektfuldt i DR’s Public service-vase. Alene af den grund håber jeg, at det bliver mellem 9 og 10 i dag;-)"	renegadedreng					0.285714286
René Gade	renegadedreng	231	2019-05-02 07:48:49 EET	Tweet	0	0	https://twitter.com/renegadedreng/status/1123826656018337794	"@ChristianHansez Ja, den funktion kunne jeg bare ikke lige få frem. Men enig"	renegadedreng					-2
René Gade	renegadedreng	231	2019-05-02 07:43:49 EET	Photo	1	0	https://twitter.com/renegadedreng/status/1123825398368829440	"Kom så #dkpol. 🙌🏼🇩🇰💪🏼 Vis Danmark og vælgerne de skarpeste driblinger, afleveringer i dybden og respektfuld samarbejdsvilje i kampen om at komme på det politiske landshold med 179 kolleger - som @larsloekke kickstarter udtagelsen til liiige om lidt. #MereLandsholdMindreBandekrig! https://t.co/B8CpxXYa4r"	renegadedreng	https://t.co/B8CpxXYa4r	https://twitter.com/renegadedreng/status/1123825398368829440/photo/1			0
René Gade	renegadedreng	230	2019-05-02 06:36:50 EET	Link	0	0	https://twitter.com/renegadedreng/status/1123808543591817216	"Bør vi i kontrolleret form nedbryde demokratiet for at kunne bygge det igen? LÆS:“Nogle af de uintenderede konsekvenser, som vi ser hos mange forskellige demokratier verden over, ville almindeligvis lede til justeringer. Hvorfor sker det så ikke?” https://www.information.dk/debat/2017/03/tillad-begaa-demokrati-blasfemi-demokratiet-brug #dkpol"	renegadedreng	https://www.information.dk/debat/2017/03/tillad-begaa-demokrati-blasfemi-demokratiet-brug	https://www.information.dk/debat/2017/03/tillad-begaa-demokrati-blasfemi-demokratiet-brug			-4
René Gade	renegadedreng	230	2019-05-01 09:55:37 EET	Tweet	2	0	https://twitter.com/renegadedreng/status/1123496179814289408	@LukasGraham Virkelig begavet tanke og tilgang til livet. Bevidsthed er nøglen til at holde balancen. 🙌🏼	renegadedreng					-0.333333333
René Gade	renegadedreng	230	2019-05-01 09:06:10 EET	Tweet	2	0	https://twitter.com/renegadedreng/status/1123483735658323968	"@PiaOlsen @rasmuskongshoej Det er virkelig vigtigt at sætte ledelseskultur på dagsordenen - tillid, respekt og arbejdsglæde er den direkte vej til stærke arbejdsfællesskaber og langsigtet værdiskabelse. Cool👍🏼"	renegadedreng					-0.333333333
René Gade	renegadedreng	230	2019-05-01 07:44:30 EET	Photo	4	1	https://twitter.com/renegadedreng/status/1123463184038400000	"I går havde vi en tankevækkende høring om mulighederne for Danmarks veteraner på arbejdsmarkedet. Både de svært skadede og den store gruppe der er blevet styrket. Tak til @PeopleLikeUsDk, @MikkellerBeer, oplægsholdere, gæster & ikke mindst @TVKoekken for feltrationen #364 #dkpol https://t.co/5Z2gj8QlsC"	renegadedreng	https://t.co/5Z2gj8QlsC	https://twitter.com/renegadedreng/status/1123463184038400000/photo/1			0.714285714
René Gade	renegadedreng	228	2019-05-01 06:57:18 EET	Tweet	0	0	https://twitter.com/renegadedreng/status/1123451303504613377	"Hvis det der afgør din stemme ikke inden for rimelighedens grænser kan indeholdes i de fire valgmuligheder, så skriv gerne hvad der afgør den som kommentar. Tak. Jeg tester denne spørgeramme på LinkedIn, Facebook og Twitter med lidt medieret variation. Håber på lidt perspektiv💡"	renegadedreng					-6
